scenario,t,value
stable,0,0.0457075619631647
stable,1,-0.15599761593607434
stable,2,0.11256767937096858
stable,3,0.14108470745868207
stable,4,-0.29265527829807547
stable,5,-0.1953269260293477
stable,6,0.019176060475092804
stable,7,-0.04743638885153733
stable,8,-0.0025201736256433194
stable,9,-0.127956589136037
stable,10,0.13190969622942428
stable,11,0.11666879031434224
stable,12,0.009904604634182407
stable,13,0.16908618104520493
stable,14,0.07012640133780684
stable,15,-0.12889386943248574
stable,16,0.055312617612374826
stable,17,-0.14383239012434984
stable,18,0.13176754519609088
stable,19,-0.007488886647937934
stable,20,-0.027729354531789083
stable,21,-0.10213943166059121
stable,22,0.18338120080110454
stable,23,-0.023179422310320323
stable,24,-0.06424917332446609
stable,25,-0.052820032573234435
stable,26,0.0798463778330023
stable,27,0.05481660965461175
stable,28,0.06190989173939826
stable,29,0.0646231504511824
stable,30,0.32124714013056915
stable,31,-0.06096225245769234
stable,32,-0.07683640936073059
stable,33,-0.12206590923718165
stable,34,0.09239691338632434
stable,35,0.16934584390813373
stable,36,-0.01709211864823126
stable,37,-0.1260234715443792
stable,38,-0.12367218235368593
stable,39,0.09758891817370516
stable,40,0.11148812568051635
stable,41,0.08147314024577924
stable,42,-0.09982645609330414
stable,43,0.03482419846000796
stable,44,0.017502871371109233
stable,45,0.03280328950935194
stable,46,0.13071431669222847
stable,47,0.03353933231620234
stable,48,0.10183703446078422
stable,49,0.010136860423333718
stable,50,0.04336790980349762
stable,51,0.09469323387578106
stable,52,-0.21857337297834997
stable,53,-0.0479506824535952
stable,54,-0.07055589814391933
stable,55,-0.09583167723650128
stable,56,-0.04127133768400256
stable,57,0.22424119668515938
stable,58,-0.12987466735398648
stable,59,0.14524175318872212
stable,60,-0.2524304657423707
stable,61,-0.050232754497866225
stable,62,0.02441295976575084
stable,63,0.08793334970389172
stable,64,0.10668398696892824
stable,65,0.11900208527998878
stable,66,-0.052308760837265635
stable,67,-0.06935276889968507
stable,68,0.12869638218857307
stable,69,-0.028695648732242233
stable,70,-0.19135294850068826
stable,71,-0.16999308210052208
stable,72,-0.1379178429002417
stable,73,0.0745741116080646
stable,74,0.021363860410584787
stable,75,0.10357280311016523
stable,76,-0.06408789695048013
stable,77,0.023780953661507134
stable,78,0.09383855909510051
stable,79,-0.04640198095803576
stable,80,0.06851628563361171
stable,81,-0.09928889115999769
stable,82,-0.05445807698476077
stable,83,-0.05726068409974936
stable,84,-0.17937594683835595
stable,85,0.07304587211783727
stable,86,-0.07041035103040857
stable,87,0.0018741178091531143
stable,88,0.07211199883588634
stable,89,0.06697967640449161
stable,90,0.09980776634591794
stable,91,-0.014772822676413541
stable,92,-0.06349474680662306
stable,93,-0.011957731635959857
stable,94,-0.2531001650937045
stable,95,-0.21706687086346307
stable,96,-0.19840494185316035
stable,97,-0.14958702414022226
stable,98,0.059966134008515484
stable,99,-0.1358218583040091
stable,100,-0.05672438310590845
stable,101,0.1948842446679098
stable,102,-0.05343959565921389
stable,103,0.11062733527006298
stable,104,-0.14004265200148155
stable,105,-0.030815633680144502
stable,106,-0.1425033082365872
stable,107,-0.05085496138508437
stable,108,0.12604622061860932
stable,109,-0.2590980634788523
stable,110,0.0651635465318786
stable,111,0.03566034034984168
stable,112,-0.08912249335451916
stable,113,-0.21690867815826817
stable,114,0.010819426157080427
stable,115,-0.07942390635957036
stable,116,0.034901431703205595
stable,117,0.003277821828516432
stable,118,0.2402668336981373
stable,119,-0.03590334412095364
